year,month,day,hour,minute,second,freq_MHz,utc_hr
2017,8,20,14,29,8.4,10000000.0187,14.48566667
2017,8,20,14,29,20.3,10000000.0089,14.48897222
2017,8,20,14,29,32.2,10000000.0070,14.49227778
2017,8,20,14,29,44.1,10000000.0081,14.49558333
2017,8,20,14,29,56,10000000.0946,14.49888889
2017,8,20,14,30,7.9,10000000.1036,14.50219444
2017,8,20,14,30,19.7,10000000.0048,14.50547222
2017,8,20,14,30,31.6,10000000.1110,14.50877778
2017,8,20,14,30,43.5,10000000.1275,14.51208333
2017,8,20,14,30,55.4,10000000.1192,14.51538889
2017,8,20,14,31,7.3,10000000.1210,14.51869444
2017,8,20,14,31,19.2,10000000.1251,14.522
2017,8,20,14,31,31.1,10000000.1080,14.52530556
2017,8,20,14,31,43,10000000.1020,14.52861111
2017,8,20,14,31,54.8,10000000.0890,14.53188889
2017,8,20,14,32,6.7,10000000.0705,14.53519444
2017,8,20,14,32,18.6,10000000.0749,14.5385
2017,8,20,14,32,30.5,10000000.0784,14.54180556
2017,8,20,14,32,42.4,10000000.0695,14.54511111
2017,8,20,14,32,54.3,10000000.0749,14.54841667
2017,8,20,14,33,6.2,10000000.0949,14.55172222
2017,8,20,14,33,18.1,10000000.0922,14.55502778
2017,8,20,14,33,30,10000000.1002,14.55833333
2017,8,20,14,33,41.8,10000000.1155,14.56161111
2017,8,20,14,33,53.7,10000000.1175,14.56491667
2017,8,20,14,34,5.6,10000000.0541,14.56822222
2017,8,20,14,34,17.5,10000000.0644,14.57152778
2017,8,20,14,34,29.4,10000000.0717,14.57483333
2017,8,20,14,34,41.3,10000000.1564,14.57813889
2017,8,20,14,34,53.2,10000000.1530,14.58144444
2017,8,20,14,35,5.1,10000000.1573,14.58475
2017,8,20,14,35,17,9999999.9918,14.58805556
2017,8,20,14,35,28.8,9999999.9934,14.59133333
2017,8,20,14,35,40.7,9999999.9921,14.59463889
2017,8,20,14,35,52.6,10000000.1113,14.59794444
2017,8,20,14,36,4.5,10000000.1408,14.60125
2017,8,20,14,36,16.4,10000000.1294,14.60455556
2017,8,20,14,36,28.3,10000000.1399,14.60786111
2017,8,20,14,36,40.2,10000000.1373,14.61116667
2017,8,20,14,36,52.1,10000000.0843,14.61447222
2017,8,20,14,37,4,10000000.0953,14.61777778
2017,8,20,14,37,15.8,10000000.1029,14.62105556
2017,8,20,14,37,27.7,10000000.1037,14.62436111
2017,8,20,14,37,39.6,10000000.0994,14.62766667
2017,8,20,14,37,51.5,10000000.0860,14.63097222
2017,8,20,14,38,3.4,10000000.0770,14.63427778
2017,8,20,14,38,15.3,10000000.1862,14.63758333
2017,8,20,14,38,27.2,10000000.1723,14.64088889
2017,8,20,14,38,39.1,10000000.1571,14.64419444
2017,8,20,14,38,50.9,10000000.0262,14.64747222
2017,8,20,14,39,2.8,10000000.0325,14.65077778
2017,8,20,14,39,14.7,10000000.0531,14.65408333
2017,8,20,14,39,26.6,10000000.0608,14.65738889
2017,8,20,14,39,38.5,10000000.0717,14.66069444
2017,8,20,14,39,50.4,10000000.0744,14.664
